main_id,id,version,hip,tyc,ucac,twomass,sdss,allwise,gaia,apass,kic,objtype,typesrc,ra,dec,posflag,pmra,e_pmra,pmdec,e_pmdec,pmflag,plx,e_plx,parflag,gallong,gallat,eclong,eclat,bmag,e_bmag,vmag,e_vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,jmag,e_jmag,hmag,e_hmag,kmag,e_kmag,twomflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,gaiamag,e_gaiamag,tmag,e_tmag,tessflag,spflag,teff,e_teff,logg,e_logg,mh,e_mh,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_ebv,epos_ebv,ebvflag,eneg_mass,epos_mass,eneg_rad,epos_rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_teff,epos_teff,teffflag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareflag,vmagflag,bmagflag,splists,e_ra,e_dec,ra_orig,dec_orig,e_ra_orig,e_dec_orig,raddflag,wdflag,objid,CCD,sector,otype,sp_type,sp_qual,nbref
* alf Sco,175934060,20190415,,,318-090918,16292443-2625549,,J162924.49-262554.8,,,,STAR,2mass,247.35182,-26.431938,2mass,,,,,,,,,351.947123,15.064432,249.762199,-4.569894,0.53,0.142,,,,,,,,,,,,,-2.85,0.093,-3.725,0.146,-4.1,0.16,ABC-333-111-000-0-0,,-1.233,0.009,2.066,,-3.61,,-4.284,0.001,,,-1.679,0.168,bpjk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpbj,,290.0,290.0,247.35182,-26.431938,290.0,290.0,,0,1075794335,3,91,s*r,M1.5Iab+B2Vn,C,776
* zet Oph,152859121,20190415,81377.0,5632-01042-1,398-065625,16370954-1034014,,J163709.56-103401.5,4.337352305315545e+18,,,STAR,tmgaia2,249.289739092317,-10.5670903683093,tmgaia2,13.07,0.85,25.44,0.72,hip,7.12,0.71,hip,6.28123193427005,23.5877410869795,249.229189210942,11.3913221540579,2.563,0.022,2.55992,0.023,,,,,,,,,,,2.533,0.296,2.667,0.212,2.684,0.272,DCD-333-111-000-0-0,,1.564,,1.385,,2.784,0.014,2.734,0.028,2.58829,0.0172113,1.497,1.4014,gbprp,,,,,,,,,,,,,,DWARF,,,140.44945,14.0055,,,,,,,,,,,,,,,,,,,,,,,hip,,,,5.00059,5.00061,2.44982,0.0173289,0.0,,sirful,tycho2b3,,13.2589696186125,11.1730327823268,249.289796336746,-10.5669808349804,0.857405449119958,0.539501209404723,-1.0,0,1091362169,4,91,Be*,O9.2IVnn,C,1892
* alf Vir,178999156,20190415,,,395-055656,13251158-1109404,,J132511.54-110940.8,,,,STAR,2mass,201.298256,-11.161239,2mass,-43.0,8.0,-32.0,8.0,tic7,,,,316.112379,50.844635,203.841335,-2.054411,-0.135,0.3,0.972761,0.023,,,,,,,,,,,1.461,0.298,1.615,0.244,1.694,0.262,DDD-333-111-000-0-0,,-0.706,,0.09,,1.881,0.013,1.808,0.015,,,1.961,0.8,joffs,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sirful,bpbj,,290.0,290.0,201.298266,-11.161231,290.0,290.0,-1.0,0,848898679,1,91,bC*,B1V,C,872
* tet Oph,83852015,20190415,84970.0,6829-00577-1,326-102917,17220058-2459580,,J172200.59-245958.5,4.1107304863449953e+18,,,STAR,tmgaia2,260.502447532167,-24.9995318064432,tmgaia2,-8.84,0.71,-23.64,0.47,hip,5.79,0.69,hip,0.464440259572264,6.55233128562146,261.39487828793,-1.84350955514609,3.061,0.021,3.27,0.03,,,,,,,,,,,3.631,0.234,3.656,0.192,3.831,0.036,DCE-331-111-000-0-0,,3.959,0.317,3.665,0.254,4.021,0.015,3.843,0.033,3.2338,0.00974276,2.0974,1.6249,gbprp,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12835,6.12835,3.41247,0.00610007,0.0,,hipvmag,tycho2b3,,11.3015282268757,7.31930478282088,260.502405536537,-24.9996335897833,0.813763755200486,0.707811771465145,0.0,0,1229459578,2,91,bC*,OB,E,347
* tau Sgr,465992580,20190415,93864.0,6881-01777-1,312-239349,19065640-2740133,,,6.762701233353832e+18,12899955.0,,STAR,tmgaia2,286.735003339794,-27.6704255895161,tmgaia2,-51.0,8.0,-251.0,8.0,sblink,26.82,0.86,hip,9.33392206541873,-15.3684967643032,284.834238342539,-5.08886469215987,4.477,0.016,3.32,0.03,,,,,,,,,,,1.271,0.268,0.585,0.298,0.458,0.332,DDD-333-111-000-0-0,,,,,,,,,,2.91491,0.0104924,2.2784,1.5363,gbprp,,,,,,,,,,,,,,GIANT,,,37.2856,2.01671,,,,,,,,,,,,,,,,,,,,,,,hip,,,,3.57684,3.57686,2.31401,0.0354998,0.0,,hipvmag,tycho2b3,,127.725441261319,124.001134501746,286.734755400496,-27.6715062841899,0.559725301122721,0.530431635666086,-1.0,0,1650157065,1,92,PM*,K1.5IIIb,B,162
* bet01 Cap,114746467,20190415,100345.0,5753-02281-1,377-165074,20210066-1446531,,J202100.69-144653.2,6.875990375998568e+18,,,STAR,tmgaia2,305.252761713547,-14.7814645625803,tmgaia2,48.0,8.0,14.0,8.0,sblink,9.48,0.95,hip,29.1496170145964,-26.370091569303,304.047341901144,4.58857859453132,3.828,0.019,3.08533,0.023,,,,,,,,,,,1.452,0.272,0.914,0.26,0.796,0.27,DDD-333-111-000-0-0,,-1.758,,-0.761,,0.854,0.024,0.816,0.01,2.83484,0.000652087,2.2882,1.499,gbprp,spec7,4901.78,41.1441,,,,,,,,,,,GIANT,,,105.48524,10.5708,,,,,,,,,,,,,,,,,,,,,,,hip,,,spect,3.26474,3.26474,2.20246,0.0219302,0.0,,sirful,tycho2b3,,125.044702780771,124.000407067821,305.252975453738,-14.7814042849006,0.435907604437755,0.317730995129632,-1.0,0,1702141316,2,92,SB*,G9II:+B8p:Si:,D,191
* del Sco,12725034,20190415,78401.0,6779-02194-1,337-077369,16002000-2237180,,J160019.99-223718.2,,,,STAR,2mass,240.083355,-22.621694,2mass,-8.67,0.83,-36.9,0.66,tic7,8.12,0.88,hip,350.096932,22.490437,242.571228,-1.986038,2.201,0.022,2.29,0.03,,,,,,,,,,,2.41,0.308,2.432,0.214,2.427,0.278,DCD-333-111-000-0-0,,-0.904,,-0.724,,1.113,0.022,0.566,0.022,,,2.384,0.327,vjk,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,tycho2b3,,290.0,290.0,240.083357,-22.621687,290.0,290.0,,0,1022093638,3,91,SB*,B0.3IV,B,770
* pi. Sgr,188072230,20190415,94141.0,6295-00282-1,345-181481,19094584-2101247,,,4.082115215097593e+18,,,STAR,tmgaia2,287.440974014476,-21.0236148621991,tmgaia2,-1.17,0.68,-36.83,0.43,hip,7.41,0.69,hip,15.8857346534551,-13.2937019356291,286.251813681716,1.43706265326531,3.226,0.023,2.88774,0.023,,,,,,,,,,,2.027,0.278,1.896,0.258,1.86,0.266,DDD-333-111-000-0-0,,,,,,,,,,2.76037,0.0146341,2.4203,1.5355,gbprp,spec7,6607.1,39.034,,,-0.17,0.09,,,,,,,DWARF,,,134.95277,12.5665,,,,,,,,,,,,,,,,,,,,,,,hip,,,spect,2.94169,2.94172,2.29806,0.0208496,0.0,,sirful,tycho2b3,,10.7383151711559,6.69109208798215,287.440968617729,-21.0237734358116,0.628375763248855,0.590329001369055,0.0,0,1654798522,3,92,**,F2II-III,C,140
* eta Oph,400036304,20190415,84012.0,6232-01333-1,372-080691,17102267-1543298,,J171022.70-154328.8,,,,STAR,2mass,257.594506,-15.724914,2mass,41.16,1.13,97.65,0.65,tic7,38.77,0.86,hip,6.721415,14.007851,257.96956,7.197792,2.566,0.022,2.43,0.03,,,,,,,,,,,2.369,0.276,2.409,0.216,2.336,0.242,DCD-333-111-000-0-0,,0.525,,0.565,,2.423,0.019,2.303,0.023,,,2.447,0.292,vjk,spec7,8700.41,60.0638,,,,,,,,,,,DWARF,,,25.793139,0.572146,,,,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,,,hipvmag,tycho2b3,,290.0,290.0,257.594486,-15.72496,290.0,290.0,-1.0,0,1188135783,1,91,**,A2IV-V,C,270
* ksi02 Sgr,442255852,20190415,93085.0,6294-02507-1,345-175727,18574379-2106238,,J185743.81-210624.2,4.0848348227762463e+18,,,STAR,tmgaia2,284.432497147369,-21.1066643170245,tmgaia2,34.4,0.6,-12.1,0.6,tycho2,8.93,0.53,hip,14.6099270537977,-10.7774180232576,283.451133664088,1.66121888656884,4.697,0.016,3.49903,0.023,,,,,,,,,,,1.603,0.312,1.04,0.266,0.976,0.286,DDD-333-111-000-0-0,,-1.674,,-1.13,,0.989,0.066,0.847,0.017,3.15653,0.0118933,2.4894,1.5799,gbprp,,,,,,,,,,,,,,GIANT,,,111.982,12.9011,,,,,,,,,,,,,,,,,,,,,,,hip,,,,3.73586,3.73587,2.40146,0.00950163,0.0,,sirful,tycho2b3,,9.47684066750382,9.31132421173943,284.432655909575,-21.106716414321,0.564336710740747,0.459084497805039,-1.0,0,1629626952,2,92,*,G8/K0II/III,E,123
* del Cap,155842257,20190415,107556.0,6363-01044-1,370-186608,21470244-1607382,,,6.838311796135213e+18,,,STAR,tmgaia2,326.760157598903,-16.1273328761186,tmgaia2,267.051,2.00135,-286.183,1.89047,gaia2,73.3761,1.22737,gaia2,37.6005389825032,-46.0132961687026,323.542515819446,-2.60171628177821,3.152,0.023,2.85,0.03,,,,,,,,,,,2.254,0.264,2.063,0.194,2.014,0.222,DCD-333-111-000-0-0,,,,,,,,,,8.97377,0.345733,2.592,0.276,vjk,gaia2,,,,,,,,,,,,,,,,13.6306,0.2299,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.2261,0.2337,bj2018,,,,,0.0,,0.0,-1.0,,hipvmag,tycho2b3,,31.349696475001,29.3195352522531,326.761354503929,-16.12856505627,1.08743046302333,1.00560488606826,-1.0,-1,1716878113,3,92,SB*,kA5hF0mF2III,C,280
* sig Sgr,91093307,20190415,,,319-206211,18551592-2617481,,J185515.95-261749.0,,,,STAR,2mass,283.81636,-26.296744,2mass,14.0,8.0,-53.0,8.0,tic7,,,,9.555894,-12.435162,282.385327,-3.449539,-0.1,0.222,,,,,,,,,,,,,2.334,0.218,2.409,0.186,2.437,0.228,DCD-333-111-000-0-0,,1.708,,2.45,0.415,2.894,0.011,2.825,0.021,,,2.834,0.8,joffs,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpbj,,290.0,290.0,283.816354,-26.296722,290.0,290.0,-1.0,0,1622636529,1,92,**,B2.5V,B,281
* kap Vir,5976862,20190415,69427.0,5558-01738-1,399-055362,14125374-1016254,,J141253.74-101623.9,6.304988355323887e+18,,,STAR,tmgaia2,213.223941868581,-10.2737155237168,tmgaia2,5.54137,0.531684,141.754,0.501784,gaia2,14.1598,0.409887,gaia2,333.515705479341,47.7024250294946,214.493730756217,2.91297718769129,5.516,0.014,4.17558,0.023,,,,,,,,,,,1.873,0.3,1.17,0.24,1.054,0.278,DDD-333-111-000-0-0,,-1.449,,-0.407,,0.972,0.017,0.916,0.009,3.70312,0.00442811,2.9693,1.7876,gbprp,spect,4235.0,20.0,,,-0.43,0.04,24.7669,,,,,,GIANT,,,70.591,2.061,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,4.44957,4.44957,2.95389,0.006827,1.0,,sirful,tycho2b3,,8.28108125159655,7.78278472032722,213.223966116017,-10.2731051939976,0.334292623216975,0.282608156030319,0.0,0,892195220,3,91,PM*,K2.5IIIFe-0.5,C,148
* gam Lib,386935627,20190415,76333.0,5608-01381-1,377-071155,15353157-1447222,,J153531.63-144722.3,6.265374394490149e+18,,,STAR,tmgaia2,233.881579409719,-14.7895445459207,tmgaia2,63.8236,0.818224,9.88507,0.744351,gaia2,21.0823,0.401029,gaia2,351.515193686302,32.1957274125096,235.138037779702,4.38591705600859,4.907,0.017,3.90672,0.023,,,,,,,,,,,2.129,0.294,1.595,0.23,1.524,0.23,DDD-333-111-000-0-0,,-1.002,,-0.386,,1.59,0.036,1.456,0.021,3.64937,0.00570551,3.0514,1.8564,gbprp,spect,4778.46,12.2264,,,-0.3,0.03,12.0115,,,,,,GIANT,,,47.4017,0.90845,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,4.16851,4.16851,2.99314,0.00665,1.0,,sirful,tycho2b3,,12.7932051865493,11.543296737078,233.881863621724,-14.7895019853763,0.334100484620629,0.367649655508446,0.0,0,984043462,1,91,**,G8.5III,C,168
* pi. Sco,66744681,20190415,78265.0,6783-02697-1,320-083453,15585111-2606507,,J155851.10-260651.1,6.235406071206201e+18,12738692.0,,STAR,tmgaia2,239.712966505469,-26.114112499651,tmgaia2,-12.0,0.8,-25.71,0.77,hip,7.1,0.84,hip,347.21476912505,20.2304612268758,242.939875335264,-5.47538246852502,2.704,0.021,2.89,0.03,,,,,,,,,,,3.465,0.318,3.5,0.276,3.686,0.324,DDD-333-111-00d-0-0,,3.517,0.411,3.297,0.218,3.496,0.017,2.882,0.03,3.05833,0.0263462,3.067,2.3082,gbprp,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91364,3.9137,3.87593,0.2339,0.0,,hipvmag,tycho2b3,,12.7496686459008,11.9438959789163,239.712908965033,-26.1142231954856,0.723535276585223,0.460897119944301,0.0,0,1018979641,3,91,SB*,B1V+B2:V:,C,413
V* V3879 Sgr,4095307,20190415,91781.0,6288-01933-1,354-151747,18425510-1917030,,J184255.09-191703.5,4.0923384055421435e+18,,,STAR,tmgaia2,280.729581548881,-19.2842126040212,tmgaia2,-11.7348,0.592543,-33.1193,0.521533,gaia2,4.55276,0.265509,gaia2,14.7430666222751,-6.85574204965791,280.143308003652,3.77806218944165,7.989,0.014,6.32,0.03,,,,,,,,,,,0.897,0.242,-0.164,0.248,-0.512,0.32,DDD-333-111-000-0-0,,-1.773,,-2.444,,-0.498,0.394,-0.906,0.012,4.43612,0.0083376,3.10845,0.0119,rered,,3014.0,122.0,,,,,,,,,,,,,,219.661,13.2025,0.0291018,0.0228573,,,,,,0.0130122,0.0327024,panstarrs,,,,,,,,,,,12.424,13.981,bj2018,,,dered,6.65245,0.025743,3.16348,0.013223,1.0,,hipvmag,tycho2b3,,9.32067724341151,8.08771926091806,280.729528020687,-19.2843552010163,0.294398820565595,0.252987854535994,-1.0,0,1580753984,2,92,LP*,M4III,C,92
V* ET Vir,308263469,20190415,69269.0,6138-00015-1,369-066163,14105047-1618072,,J141050.49-161807.2,6.297642174541339e+18,,,STAR,tmgaia2,212.710362739268,-16.3020307043827,tmgaia2,3.27677,0.491555,-10.8044,0.40037,gaia2,5.86553,0.255217,gaia2,329.1625536823,42.4894234201403,216.036154320271,-2.93622278675759,6.681,0.018,4.93,0.03,,,,,,,,,,,1.651,0.266,0.814,0.29,0.598,0.304,DDD-333-111-000-0-0,,-1.838,,-0.955,,0.372,0.039,0.322,0.009,4.09172,0.00660493,3.13425,0.0096,rered,spect,3672.0,82.0,,,,,82.5903,,,,,,GIANT,,,170.227,7.4755,0.0279361,0.0126429,,,,,,0.0125548,0.012731,panstarrs,,,,,,,,,,,,,bj2018,,,spect,5.20904,0.005661,3.11803,0.008687,1.0,,hipvmag,tycho2b,,7.70077179669695,6.20896778451644,212.710377438564,-16.302077223328,0.245453064547241,0.20033486700517,0.0,0,890523305,4,91,LP*,M2IIIa,B,102
* phi Sgr,465950458,20190415,92041.0,6867-02428-1,316-214353,18453939-2659268,,J184539.40-265926.9,4.072953671935146e+18,,,STAR,tmgaia2,281.414117870893,-26.9907830318089,tmgaia2,51.0,8.0,0.0,8.0,sblink,14.14,0.88,hip,7.99628956481493,-10.7744560393685,280.181352666934,-3.95402004757099,3.051,0.022,3.17,0.03,,,,,,,,,,,3.273,0.284,3.241,0.296,3.28,0.312,DDD-333-111-00d-0-0,,3.443,0.478,2.928,0.418,3.485,0.013,3.375,0.024,3.1491,0.0140326,3.1762,2.0092,gbprp,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18283,3.18285,3.17444,0.006038,0.0,,hipvmag,tycho2b3,,127.54018530733,124.001123099769,281.414364294836,-26.9907830320232,0.568205238743639,0.527759418727376,0.0,0,1591385360,1,92,PM*,B8III,C,128
HD 167818,127476636,20190415,89678.0,6852-05204-1,315-176676,18180319-2702334,,J181803.19-270233.5,4.052359028919711e+18,,,STAR,tmgaia2,274.513305232546,-27.042646459757,tmgaia2,4.07447,0.66451,-3.57198,0.593256,gaia2,5.29763,0.384334,gaia2,5.18461678838558,-5.29327515786505,274.027255090644,-3.66643838452181,6.266,0.012,4.66,0.03,,,,,,,,,,,1.753,0.292,0.994,0.318,0.817,0.348,DDD-333-111-000-0-0,,-1.814,,-1.158,,0.681,0.09,0.664,0.015,4.0354,0.0100924,3.17686,1.8263,rered,gaia2,4007.0,122.0,,,,,71.7756,,,,,,GIANT,,,189.641,14.297,0.0395418,0.0284569,,,,,,0.0193258,0.037588,panstarrs,,,,,,,,,,,13.241,15.353,bj2018,,,dered,4.93871,4.93872,3.13544,0.016291,1.0,,hipvmag,tycho2b3,,10.5985712474704,9.20083319940303,274.51332492883,-27.0426618391168,0.326706897444406,0.314165281679876,0.0,0,1474957772,3,91,*,K3II,C,57
* m Vir,743613,20190415,66803.0,5546-01582-1,407-057023,13413677-0842110,,J134136.70-084210.2,3.618198617586494e+18,,,STAR,tmgaia2,205.403207012315,-8.70298165382981,tmgaia2,-90.8361,0.473231,39.1154,0.324885,gaia2,6.24898,0.261103,gaia2,323.417451885027,52.1617692421956,206.70800413661,1.71051500565984,6.63,0.013,5.02941,0.023,,,,,,,,,,,1.717,0.296,0.891,0.262,0.701,0.308,DDD-333-111-000-0-0,,-1.741,,-0.433,,0.628,0.051,0.478,0.021,4.15333,0.00692732,3.17819,0.0093,rered,gaia2,3750.0,122.0,,,,,68.7834,,,,,,GIANT,,,159.776,6.7355,0.0103818,0.003546175,,,,,,0.00194999,0.00514236,panstarrs,,,,,,,,,,,6.457,7.014,bj2018,,,dered,5.30545,0.003306,3.14827,0.002746,1.0,,sirful,tycho2b3,,7.35990985729166,5.03930411815808,205.402811356865,-8.70281324050498,0.2309488844618,0.1900927549348,0.0,0,863192329,3,91,PM*,M1+III,B,114
* kap Lib,12429240,20190415,76880.0,6193-00631-1,352-074154,15415680-1940438,,J154156.74-194044.8,6.253982698110533e+18,,,STAR,tmgaia2,235.486666722211,-19.6787930658292,tmgaia2,-42.1538,0.462216,-111.498,0.357271,gaia2,9.23381,0.218111,gaia2,348.94053524885,27.583145852463,237.757351996221,-0.0192614556293551,6.291,0.013,4.75,0.03,,,,,,,,,,,1.874,0.3,1.016,0.23,0.798,0.31,DDD-333-111-000-0-0,,-1.796,,-1.218,,0.791,0.061,0.71,0.013,4.07349,0.00602265,3.18934,1.7901,rered,gaia2,3955.0,122.0,,,,,40.7475,,,,,,GIANT,,,108.075,2.5695,0.0156517,0.015421205,,,,,,0.00673211,0.0241103,panstarrs,,,,,,,,,,,2.51,2.629,bj2018,,,dered,5.0291,5.0291,3.14325,0.002619,1.0,,hipvmag,tycho2b3,,7.27383882753504,5.53961667891758,235.486473968977,-19.6792731267693,0.191761970608012,0.145691872256474,0.0,0,992633816,2,91,PM*,M0-IIIb,B,85
* tet Lib,281109982,20190415,77853.0,6187-01544-1,367-070542,15534955-1643452,,J155349.61-164343.9,6.260822966106296e+18,,,STAR,tmgaia2,238.456413262273,-16.7292921453878,tmgaia2,98.375,0.570312,133.327,0.461765,gaia2,19.6104,0.320353,gaia2,353.545619026349,27.7176277515537,239.872480637057,3.47178385667572,5.154,0.017,4.13,0.03,,,,,,,,,,,2.352,0.276,1.899,0.224,1.767,0.278,DDD-333-111-000-0-0,,-0.754,,0.04,,1.775,0.027,1.687,0.018,3.8369,0.00387642,3.2311,1.944,gbprp,spect,4718.0,100.0,,,-0.23,0.1,12.2534,,,,,,GIANT,,,50.9448,0.8381,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,4.38463,4.38463,3.19169,0.001954,1.0,,hipvmag,tycho2b3,,8.93881501240419,7.15931296003125,238.456855540529,-16.7287180990481,0.265280502220684,0.167319086972029,0.0,0,1011243080,1,91,PM*,G9IIIb,C,123
* sig Sco,322928423,20190415,80112.0,6798-00540-1,323-086173,16211131-2535342,,J162111.19-253534.3,6.048602103659567e+18,,,STAR,tmgaia2,245.297133788238,-25.5927879917719,tmgaia2,-9.9,0.4,-21.1,0.5,tycho2,4.68,0.6,hip,351.312998760714,16.9989362640766,247.799584835842,-4.03736847432156,2.994,0.022,2.9,0.03,,,,,,,,,,,2.393,0.26,2.399,0.22,2.339,0.254,DDD-333-111-ddd-0-0,,0.87,,0.735,,2.249,0.022,1.043,0.027,3.52108,0.0821216,3.2724,1.6484,gbprp,,,,,,,,,,,,,,DWARF,,,213.675,,,,,,,,,,,,,,,,,,,,,,,,hip,,,,2.98803,2.98873,2.51387,0.0111587,0.0,,hipvmag,tycho2b3,,6.42843288866624,7.7945345096262,245.297086526214,-25.5928788390025,0.949569225004291,0.83202657514878,-1.0,0,1059751517,3,91,bC*,B1III+B1:V,C,894
* ups Cap,188469084,20190415,101984.0,6335-01121-1,360-207541,20400294-1808188,,J204002.91-180819.6,6.861481701590666e+18,,,STAR,tmgaia2,310.012271593344,-18.1386573315948,tmgaia2,-23.5027,0.394682,-22.1565,0.288789,gaia2,4.47019,0.235193,gaia2,27.5732531931506,-31.8657994222397,307.662236751375,0.222985483807539,6.755,0.013,5.15,0.03,,,,,,,,,,,1.839,0.3,0.996,0.312,0.834,0.35,DDD-333-111-000-0-0,,-1.828,,-0.921,,0.593,0.085,0.596,0.016,4.31948,0.00650555,3.34639,0.0092,rered,gaia2,3778.0,122.0,,,,,88.6899,,,,,,GIANT,,,223.37,12.0755,0.0265012,0.00493653,,,,,,0.00538064,0.00449242,panstarrs,,,,,,,,,,,11.435,12.716,bj2018,,,dered,5.42978,0.005547,3.29059,0.005132,1.0,,hipvmag,tycho2b3,,6.19781229161239,4.47890920127588,310.012165109546,-18.1387527276665,0.186008924293903,0.154909962892858,0.0,0,1706873796,1,92,V*,M1III,C,100
* omi Sco,457965487,20190415,80079.0,6794-00552-1,330-083319,16203818-2410095,,J162038.16-241009.7,6.050060708908633e+18,,,STAR,tmgaia2,245.15910783725,-24.1692960540534,tmgaia2,-12.7336,1.11147,-24.5106,0.686895,gaia2,7.92163,1.13435,gaia2,352.327962262441,18.0502670334312,247.437839853102,-2.65476242768532,5.315,0.02,4.55,0.03,,,,,,,,,,,2.222,0.292,1.899,0.258,1.681,0.306,DDD-333-111-000-0-0,,-1.055,,-0.701,,1.504,0.021,1.419,0.018,4.13356,0.00417659,3.43647,0.0075,rered,spect,8370.0,200.0,,,0.03,0.17,8.43189,,,,,,GIANT,,,131.134,22.306,0.00867595,0.00680603,,,,,,0.00248506,0.011127,panstarrs,,,,,,,,,,,,,bj2018,,,spect,4.76856,0.001021,3.36527,0.003818,1.0,,hipvmag,tycho2b3,,17.6488049344393,10.6488027898225,245.159047744255,-24.169401585816,1.03834179809779,0.202748181929863,0.0,0,1059006569,3,91,V*,A5II,C,268
HD 144690,67759173,20190415,79050.0,6788-01726-1,319-083629,16080757-2619360,,J160807.65-261936.0,6.043384027634819e+18,,,STAR,tmgaia2,242.031615444009,-26.3266745680312,tmgaia2,99.0122,0.575465,-7.71516,0.400807,gaia2,5.46625,0.322678,gaia2,348.628750999273,18.6199684903008,245.030738248397,-5.27938473706281,6.978,0.013,5.35,0.03,,,,,,,,,,,1.876,0.286,1.037,0.258,0.815,0.278,DDD-333-111-000-0-0,,-2.082,,-1.198,,0.648,0.083,0.568,0.018,4.43694,0.00313974,3.44677,0.0069,rered,gaia2,3738.0,122.0,,,,,71.1437,,,,,,GIANT,,,183.184,11.161,0.0240122,0.0128121,,,,,,0.0125567,0.0130675,panstarrs,,,,,,,,,,,10.493,11.829,bj2018,,,dered,5.60447,0.00335,3.41077,0.00189,1.0,,hipvmag,tycho2b3,,9.16350900599674,6.21394819490514,242.032091079418,-26.3267077868662,0.238594152185124,0.133754649984987,0.0,0,1035716546,3,91,PM*,M2III,C,45
* iot Cap,288329878,20190415,105515.0,6360-01220-1,366-183273,21221480-1650042,,J212214.82-165004.1,6.835905927255271e+18,,,STAR,tmgaia2,320.561645319492,-16.8345507991575,tmgaia2,30.3775,0.443262,6.49034,0.35863,gaia2,16.1767,0.300369,gaia2,33.6249967194898,-40.7689597924302,317.682172310228,-1.36681574071617,5.173,0.018,4.28,0.03,,,,,,,,,,,2.668,0.292,2.219,0.244,2.206,0.27,DDD-333-111-000-0-0,,0.474,,0.469,,2.262,0.014,2.192,0.019,4.05534,0.00336939,3.5061,2.0878,gbprp,spect,5174.32,23.9176,,,0.05,0.05,10.5852,,,,,,GIANT,,,61.7477,1.15455,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,4.5274,4.5274,3.4595,0.002875,1.0,,hipvmag,tycho2b3,,6.9488787385935,5.5636408763792,320.561781967556,-16.834522854683,0.220627294205747,0.232876525421873,0.0,0,1713987267,2,92,BY*,G7IIIFe-1.5,B,200
* phi Oph,414016637,20190415,80894.0,6203-00806-1,367-074004,16310837-1636460,,J163108.33-163646.3,4.325157278256319e+18,,,STAR,tmgaia2,247.784856170693,-16.6127350455224,tmgaia2,-44.7009,0.520348,-36.5389,0.404851,gaia2,14.0516,0.272701,gaia2,0.125267797663349,21.0824777004143,248.66631162053,5.19638883047552,5.203,0.018,4.29,0.03,,,,,,,,,,,2.892,0.256,2.466,0.218,2.333,0.252,DDD-333-111-000-0-0,,0.571,,0.306,,2.27,0.012,2.185,0.02,4.06816,0.00310344,3.5153,2.0881,gbprp,spect,5106.0,46.0,,,,,12.5129,,,,,,GIANT,,,71.0718,1.3888,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,4.53845,4.53845,3.46269,0.002012,1.0,,hipvmag,tycho2b3,,8.15412933648587,6.27730946809603,247.784655324993,-16.612892365884,0.229402712380299,0.163089996498146,0.0,0,1079031255,4,91,PM*,G8+IIIa,C,128
* ome02 Sco,48795257,20190415,78990.0,6212-01712-1,346-078986,16072433-2052075,,J160724.37-205208.0,6.243816751038804e+18,,,STAR,tmgaia2,241.851358866407,-20.868771441325,tmgaia2,43.1963,0.624343,-43.4604,0.495157,gaia2,10.8678,0.342116,gaia2,352.696584050881,22.5342436152997,243.844256375803,0.0509218944011393,5.149,0.019,4.31,0.03,,,,,,,,,,,2.89,0.302,2.534,0.216,2.468,0.276,DCD-333-111-000-0-0,,1.087,,0.777,,2.435,0.018,2.32,0.021,4.09713,0.00714459,3.5669,0.0093,gbprp,spect,5380.0,150.0,,,0.1,0.15,14.0864,,,,,,GIANT,,,91.9469,2.91945,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,4.5442,0.003845,3.51723,0.002999,1.0,,hipvmag,tycho2b3,,9.84385725882369,7.67762437094438,241.85155790784,-20.8689585626083,0.27383483398424,0.203252925924329,0.0,0,1034226156,3,91,PM*,G4II-III,B,135
