main_id,id,version,hip,tyc,ucac,twomass,sdss,allwise,gaia,apass,kic,objtype,typesrc,ra,dec,posflag,pmra,e_pmra,pmdec,e_pmdec,pmflag,plx,e_plx,parflag,gallong,gallat,eclong,eclat,bmag,e_bmag,vmag,e_vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,jmag,e_jmag,hmag,e_hmag,kmag,e_kmag,twomflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,gaiamag,e_gaiamag,tmag,e_tmag,tessflag,spflag,teff,e_teff,logg,e_logg,mh,e_mh,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_ebv,epos_ebv,ebvflag,eneg_mass,epos_mass,eneg_rad,epos_rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_teff,epos_teff,teffflag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareflag,vmagflag,bmagflag,splists,e_ra,e_dec,ra_orig,dec_orig,e_ra_orig,e_dec_orig,raddflag,wdflag,objid,CCD,sector,otype,sp_type,sp_qual,nbref
HD 143766,67176885,20190415,78647.0,6788-01727-1,317-083085,16031613-2643013,,J160316.12-264303.4,6.043169210553838e+18,13656996.0,,STAR,tmgaia2,240.817225072038,-26.7171017491374,tmgaia2,-1.64555,0.107127,-180.955,0.0532139,gaia2,19.5217,0.0668536,gaia2,347.523589478383,19.1092732529049,244.034108703876,-5.87032692348838,7.435,0.025,6.96,0.03,,,,,,,,,,,5.984,0.027,5.725,0.029,5.668,0.024,AAA-111-111-000-0-0,,5.716,0.118,5.585,0.049,5.702,0.015,5.582,0.041,6.82126,0.000251,6.4644,0.006,gbprp,spect,6255.0,120.159,4.11084,0.0837221,,,1.60988,0.0702714,1.22,0.180932,0.2924,0.0648613,DWARF,3.5743113,0.1259175,51.1503,0.17625,0.0,0.0,539.0,0.037907425,,,0.0034472942,0.0,0.0,,0.134237,0.227627,0.0812291,0.0593136,0.0518862,0.0778363,0.0771006,0.0903436,0.10235,0.149485,0.1757,0.1768,bj2018,139.866,100.451,spect,7.10751,0.001278,6.43177,0.001996,1.0,,hipvmag,tycho2b3,,1.70769222691849,0.82512852310993,240.817217140207,-26.7178808609495,0.0597253312498923,0.0227278043565893,1.0,0,1027249926,3,91,PM*,F7V,C,41
HD 122958,385430433,20190415,68808.0,6137-00828-1,369-065897,14051401-1620095,,J140514.02-162009.4,6.300585704607974e+18,8658783.0,,STAR,tmgaia2,211.308389628071,-16.3359852760011,tmgaia2,2.12852,0.114991,0.17872,0.0876837,gaia2,8.03193,0.0741376,gaia2,327.463070470421,42.9931241477646,214.779294818085,-3.42270411110021,6.663,0.024,6.56,0.03,,,,,,,,,,,6.298,0.021,6.269,0.021,6.239,0.016,AAA-111-111-000-0-0,,6.2,0.092,6.122,0.031,6.293,0.014,6.148,0.05,6.53213,0.000588,6.47148,0.007,rered,spect,8531.0,143.117,3.92796,0.0748873,,,2.6226,0.112422,2.125,0.3061,0.117804,0.0225486,DWARF,32.821568,2.339585,124.075,1.15,0.0250393,0.01887625,65.0,0.004822621,,,0.0,0.0143286,0.0234239,panstarrs,0.22257,0.389629,0.102467,0.122377,0.026001,0.0190963,0.0886293,0.0611452,1.51169,3.16748,1.14,1.16,bj2018,151.071,135.163,spect,6.61253,0.002441,6.45682,0.005242,1.0,,hipvmag,tycho2b3,,1.80233328522741,1.35977681083405,211.308399178077,-16.3359845065124,0.0784184360584465,0.0429810249412735,1.0,0,886085424,4,91,*,A1/2V,D,30
HD 134946,61447354,20190415,74490.0,6762-01241-1,330-075667,15131742-2400300,,J151317.40-240030.1,6.227961277973019e+18,11371775.0,,STAR,tmgaia2,228.322536851494,-24.0083127230046,tmgaia2,-9.9801,0.155725,-22.7137,0.126234,gaia2,6.29445,0.0879189,gaia2,340.008066424969,28.4667000700075,232.367909525631,-5.84851799637964,6.421,0.024,6.47,0.03,,,,,,,,,,,6.439,0.021,6.469,0.073,6.46,0.024,AAA-111-111-000-0-0,,6.428,0.077,6.42,0.024,6.51,0.016,6.415,0.084,6.43306,0.000537914,6.47547,0.0061,rered,gaia2,10555.0,530.669,3.99086,0.0802613,,,2.76444,0.103568,2.729,0.396832,0.129176,0.0275929,DWARF,85.45574,14.2427,158.199,2.2175,0.0461009,0.02550645,170.0,0.0005964964,,,0.0015355755,0.0285966,0.0224163,panstarrs,0.403338,0.390326,0.110461,0.0966744,0.0280679,0.0271179,0.0859492,0.0745735,11.4682,17.0172,2.187,2.248,bj2018,488.674,572.665,dered,6.4392,0.001118,6.44198,0.00142,1.0,,hipvmag,tycho2b3,,2.46898096274427,1.95755283493907,228.322489812071,-24.0084105181096,0.0795091898023055,0.0601987080340988,1.0,0,954895250,2,91,*,B8III,C,35
V* V952 Sco,68052001,20190415,79235.0,6788-01728-1,316-085653,16101592-2654327,,J161015.90-265433.1,6.042555575686718e+18,,,STAR,tmgaia2,242.566338885255,-26.9091334608299,tmgaia2,-18.1193,0.220021,-32.2706,0.127374,gaia2,5.40197,0.0980592,gaia2,348.545606465814,17.870601097504,245.61136387057,-5.76289633167981,6.633,0.023,6.59,0.03,,,,,,,,,,,6.285,0.017,6.214,0.029,6.24,0.027,AAA-111-111-000-0-0,,6.245,0.09,6.152,0.026,6.268,0.016,6.143,0.051,6.54188,0.000335,6.47778,0.0061,rered,gaia2,8788.0,309.426,3.62074,0.0766471,,,3.80771,0.118153,2.208,0.33758,0.0399952,0.00796152,DWARF,77.90801,9.91647,184.244,3.3555,0.0440693,0.02738045,524.0,0.005525437,,,0.0,0.016556,0.0382049,panstarrs,0.282127,0.393033,0.0988146,0.137492,0.00968557,0.00623746,0.0958224,0.0574717,6.32964,13.5033,3.296,3.415,bj2018,266.893,351.958,dered,6.60963,0.001227,6.44392,0.000933,1.0,,hipvmag,tycho2b3,,3.5076872563756,1.97483365325171,242.56625139907,-26.9092724037191,0.088713283056439,0.0460360055443376,1.0,0,1039454270,3,91,a2*,ApSi,D,92
HD 152909A,198041404,20190415,82951.0,6227-02897-2,353-084541,16570397-1932236,,J165703.93-193224.2,4.1290048161885194e+18,,,STAR,tmgaia2,254.266604261253,-19.5398814686415,tmgaia2,-4.11407,0.134884,-10.7151,0.0693414,gaia2,5.09737,0.0802306,gaia2,1.62114140402704,14.4120293686884,255.172021583681,3.09318184063727,6.612,0.024,6.27,0.03,,,,,,,,,,,6.214,0.043,6.21,0.044,6.173,0.033,AAA-111-111-000-0-0,,5.752,0.131,5.653,0.039,5.971,0.013,5.906,0.068,6.53916,0.000472,6.48319,0.0062,rered,spect,12882.0,,,,,,,,,,,,,,,195.161,3.08,0.016743,0.10810705,1317.0,0.3821304,,,,0.0184881,0.197726,panstarrs,,,,,,,,,,,3.032,3.128,bj2018,,,spect,6.59899,0.001928,6.45293,0.001932,1.0,,hipvmag,tycho2b3,,2.12249619891609,1.07545029628577,254.266585465424,-19.5399276031012,0.0660031266174431,0.0376316541261341,-1.0,0,1141964311,1,91,*,B7.5V,C,50
HD 144766,48870025,20190415,79048.0,6205-01510-1,359-075108,16080713-1814352,,J160807.11-181436.5,6.24897521291599e+18,8831220.0,,STAR,tmgaia2,242.029679815525,-18.243135076753,tmgaia2,17.35,0.126088,-129.409,0.0811549,gaia2,30.0575,0.0487208,gaia2,354.916846450352,24.198145951645,243.517726323257,2.66160215590383,7.579,0.025,7.02,0.03,,,,,,,,,,,5.969,0.018,5.727,0.026,5.621,0.015,AAA-111-111-000-0-0,,5.686,0.119,5.514,0.044,5.662,0.016,5.59,0.045,6.87018,0.000228,6.4842,0.006,gbprp,spect,6016.75,106.563,4.39354,0.0741124,,,1.10898,0.0448769,1.11,0.144561,0.813864,0.159059,DWARF,1.452078,0.04434905,33.2377,0.05425,0.0,0.0,265.0,0.009408831,,,0.0,0.0,0.0,,0.131402,0.157719,0.032192,0.0575618,0.112907,0.205212,0.0530603,0.0951645,0.059103,0.0295951,0.0542,0.0543,bj2018,129.05,84.0751,spect,7.17744,0.001061,6.44525,0.001842,1.0,,hipvmag,tycho2b3,,1.98003932254095,1.25825731683908,242.029758470371,-18.2436922544125,0.0504466909739826,0.0299445382026531,1.0,0,1035706211,4,91,PM*,F9V,C,43
HD 175852,92030008,20190415,93132.0,6864-00053-1,326-183711,18582049-2452367,,J185820.50-245236.6,4.074374996849677e+18,,,STAR,tmgaia2,284.585442859091,-24.8768596247554,tmgaia2,10.016,0.108716,-2.56276,0.0870067,gaia2,3.15924,0.0689337,gaia2,11.1735449618205,-12.4822413059122,283.215366525902,-2.10423192429309,6.66,0.023,6.62,0.03,,,,,,,,,,,6.322,0.018,6.337,0.026,6.294,0.016,AAA-111-111-000-0-0,,6.224,0.097,6.213,0.025,6.334,0.016,6.267,0.065,6.56346,0.00039,6.48645,0.0073,rered,gaia2,8685.0,132.0,,,,,6.58388,,,,,,GIANT,,,313.924,6.85,0.0508026,0.0322453,,,,,,0.0117828,0.0527078,panstarrs,,,,,,,,,,,6.704,6.996,bj2018,,,dered,6.64428,0.0036,6.45588,0.005742,1.0,,hipvmag,tycho2b3,,1.7264511799673,1.34957633765466,284.585490394122,-24.8768706588686,0.0541641420598707,0.0512244758152845,0.0,0,1630564673,1,92,*,B8III,C,30
HD 162434,381822792,20190415,87410.0,6257-00239-1,353-115977,17514851-1931308,,J175148.52-193131.5,4.119443738033359e+18,9252032.0,,STAR,tmgaia2,267.95213859392,-19.525191954062,tmgaia2,7.47778,0.115228,-73.9397,0.0900274,gaia2,13.9619,0.0539516,gaia2,8.80029290981512,3.63439497264016,268.06546753839,3.90033867244639,7.088,0.025,6.8,0.03,,,,,,,,,,,6.192,0.023,6.109,0.031,6.042,0.033,AAA-111-111-000-0-0,,6.03,0.126,5.973,0.023,6.078,0.014,5.978,0.057,6.71586,0.000349,6.4932,0.0079,gbprp,spect,7157.0,135.462,4.12782,0.08657,,,1.80795,0.0726131,1.6,0.262248,0.270747,0.0602754,DWARF,7.7266254,0.3024615,71.4771,0.27775,0.0,0.0,7044.0,0.035357315,,,0.0,0.0,0.0,,0.191688,0.332809,0.0597739,0.0854523,0.050226,0.0703248,0.0733647,0.0997753,0.366886,0.238037,0.2767,0.2788,bj2018,104.609,166.314,spect,6.89653,0.001967,6.46913,0.011173,1.0,,hipvmag,tycho2b3,,1.81341547379271,1.39651567822169,267.952172754324,-19.5255103055529,0.064195893691381,0.0551900910391192,1.0,0,1357244088,3,92,PM*,A9V,C,26
HD 126367,203307252,20190415,70518.0,6160-01998-1,351-070245,14252988-1958119,,J142529.87-195812.0,6.283031589153639e+18,8681732.0,,STAR,tmgaia2,216.374547635898,-19.9699828985031,tmgaia2,-25.0678,0.172347,-12.4659,0.134163,gaia2,5.36605,0.146459,gaia2,331.215388583209,37.6820070719479,220.540992372416,-5.25704599917619,6.711,0.024,6.63,0.03,,,,,,,,,,,6.3,0.021,6.294,0.034,6.241,0.024,AAA-111-111-000-0-0,,6.229,0.09,6.121,0.033,6.271,0.015,6.208,0.046,6.58069,0.000604,6.49766,0.0064,rered,spect,8570.0,134.417,3.60255,0.0766904,,,3.82616,0.172538,2.138,0.308643,0.0381695,0.00783855,DWARF,71.14514,5.574245,185.603,5.0895,0.0279883,0.01265139,79.0,0.62679815,,,0.0,0.016075,0.00922778,panstarrs,0.246902,0.370384,0.169766,0.175309,0.00644637,0.00923074,0.0662827,0.087098,4.77792,6.37057,4.953,5.226,bj2018,130.5,138.334,spect,6.66992,0.00142,6.47685,0.003269,1.0,,hipvmag,tycho2b3,,2.71367205865968,2.08206390904715,216.374432800215,-19.9700365711653,0.0809665711989658,0.102760192460059,1.0,0,903950158,1,91,*,A1/2V,D,47
HD 214722,251022597,20190415,111915.0,5240-01153-1,418-153124,22401244-0632040,,J224012.42-063204.3,2.6234324074117156e+18,4976212.0,,STAR,tmgaia2,340.051874159308,-6.53446920633597,tmgaia2,-12.0528,0.0945383,-34.594,0.0811213,gaia2,10.9016,0.0489021,gaia2,60.3698836103433,-52.6611230761444,339.119780472659,1.74304800965278,7.879,0.023,7.18478,0.023,,,,,,,,,,,5.916,0.032,5.589,0.046,5.458,0.02,AAA-111-111-000-0-0,,5.423,0.171,5.295,0.058,5.465,0.015,5.406,0.042,6.97777,0.00038,6.5163,0.0063,gbprp,spect,5548.0,74.0,,,,,3.46735,,,,,,GIANT,,,91.4896,0.4124,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,7.37193,0.003463,6.4889,0.007009,1.0,,sirful,tycho2b3,,1.46831204396711,1.25809655093886,340.051821925978,-6.53461815272877,0.0413584970343598,0.0424510290834462,0.0,0,1721473815,1,92,*,G3/5V,D,27
